name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Amaravati,Maharashtra,India,20.93,77.75,Asia/Kolkata,1717690596,2024-06-06 21:46
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1717690607,2024-06-06 21:46
Vijayawada,Andhra Pradesh,India,16.52,80.62,Asia/Kolkata,1717690617,2024-06-06 21:46
Guntur,Andhra Pradesh,India,16.3,80.45,Asia/Kolkata,1717690627,2024-06-06 21:47
Nellore,Andhra Pradesh,India,14.43,79.97,Asia/Kolkata,1717690637,2024-06-06 21:47
Tirupati,Andhra Pradesh,India,13.65,79.42,Asia/Kolkata,1717690648,2024-06-06 21:47
Amaravati,Maharashtra,India,20.93,77.75,Asia/Kolkata,1717690658,2024-06-06 21:47
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1717690668,2024-06-06 21:47
Vijayawada,Andhra Pradesh,India,16.52,80.62,Asia/Kolkata,1717690678,2024-06-06 21:47
Guntur,Andhra Pradesh,India,16.3,80.45,Asia/Kolkata,1717690689,2024-06-06 21:48
Nellore,Andhra Pradesh,India,14.43,79.97,Asia/Kolkata,1717690699,2024-06-06 21:48
Tirupati,Andhra Pradesh,India,13.65,79.42,Asia/Kolkata,1717690710,2024-06-06 21:48
Amaravati,Maharashtra,India,20.93,77.75,Asia/Kolkata,1717690720,2024-06-06 21:48
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1717690731,2024-06-06 21:48
Vijayawada,Andhra Pradesh,India,16.52,80.62,Asia/Kolkata,1717690741,2024-06-06 21:49
Guntur,Andhra Pradesh,India,16.3,80.45,Asia/Kolkata,1717690751,2024-06-06 21:49
Nellore,Andhra Pradesh,India,14.43,79.97,Asia/Kolkata,1717690760,2024-06-06 21:49
Tirupati,Andhra Pradesh,India,13.65,79.42,Asia/Kolkata,1717690771,2024-06-06 21:49
Amaravati,Maharashtra,India,20.93,77.75,Asia/Kolkata,1717690782,2024-06-06 21:49
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1717690792,2024-06-06 21:49
Vijayawada,Andhra Pradesh,India,16.52,80.62,Asia/Kolkata,1717690801,2024-06-06 21:50
Guntur,Andhra Pradesh,India,16.3,80.45,Asia/Kolkata,1717690811,2024-06-06 21:50
Nellore,Andhra Pradesh,India,14.43,79.97,Asia/Kolkata,1717690823,2024-06-06 21:50
Tirupati,Andhra Pradesh,India,13.65,79.42,Asia/Kolkata,1717690833,2024-06-06 21:50
Amaravati,Maharashtra,India,20.93,77.75,Asia/Kolkata,1717690844,2024-06-06 21:50
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1717690854,2024-06-06 21:50
Vijayawada,Andhra Pradesh,India,16.52,80.62,Asia/Kolkata,1717690864,2024-06-06 21:51
Guntur,Andhra Pradesh,India,16.3,80.45,Asia/Kolkata,1717690873,2024-06-06 21:51
Nellore,Andhra Pradesh,India,14.43,79.97,Asia/Kolkata,1717690885,2024-06-06 21:51
Tirupati,Andhra Pradesh,India,13.65,79.42,Asia/Kolkata,1717690895,2024-06-06 21:51
Itanagar,Goa,India,27.1,93.62,Asia/Kolkata,1717690905,2024-06-06 21:51
Tawang,Arunachal Pradesh,India,27.58,91.87,Asia/Kolkata,1717690915,2024-06-06 21:51
Pasighat,Arunachal Pradesh,India,28.07,95.33,Asia/Kolkata,1717690937,2024-06-06 21:52
Ziro,Arunachal Pradesh,India,27.63,93.83,Asia/Kolkata,1717690946,2024-06-06 21:52
Bomdila,Arunachal Pradesh,India,27.25,92.4,Asia/Kolkata,1717690956,2024-06-06 21:52
Itanagar,Goa,India,27.1,93.62,Asia/Kolkata,1717690967,2024-06-06 21:52
Tawang,Arunachal Pradesh,India,27.58,91.87,Asia/Kolkata,1717690978,2024-06-06 21:52
Pasighat,Arunachal Pradesh,India,28.07,95.33,Asia/Kolkata,1717690998,2024-06-06 21:53
Ziro,Arunachal Pradesh,India,27.63,93.83,Asia/Kolkata,1717691008,2024-06-06 21:53
Bomdila,Arunachal Pradesh,India,27.25,92.4,Asia/Kolkata,1717691018,2024-06-06 21:53
Itanagar,Goa,India,27.1,93.62,Asia/Kolkata,1717691029,2024-06-06 21:53
Tawang,Arunachal Pradesh,India,27.58,91.87,Asia/Kolkata,1717691039,2024-06-06 21:53
